k,Baumannia,Psychromonas,Sphingomonas,Roseiflexus,Hydrogenobaculum,Alteromonas,Denitrovibrio,Frankia,Candidatus,Corynebacterium
3,286.9319852,286.9319852,282.1209449,325.0675344,310.3819091,278.2889021,287.4958857,281.6508226,337.1524075,278.3180665,339.5429212
3,280.8243896,280.8243896,285.9500412,319.9960218,300.9953842,271.5365955,284.7481733,284.5040777,322.456575,279.7431227,323.1522949
3,290.3672676,290.3672676,293.5080639,307.966494,298.5212562,276.2485905,290.1147767,289.4847691,313.8291962,287.2165971,308.2634992
3,262.7533805,262.7533805,270.7841428,338.3347319,317.4672404,257.5558667,276.6585554,269.1877001,365.2475549,260.7730649,365.0980705
3,282.0873087,282.0873087,280.5719312,320.873232,299.3800702,279.9800264,279.8921181,281.3609614,332.6708533,279.5270139,332.675178
3,281.2802936,281.2802936,279.9379273,331.7036562,308.9187273,269.0060561,283.0807448,277.6691151,343.1327704,272.2896829,340.1135239
3,261.5665573,261.5665573,264.1108332,344.8051242,313.3587996,252.7516856,271.1689607,268.4432549,362.3352139,258.9332785,368.1261133
3,294.9642069,294.9642069,285.9848036,308.9155689,290.8131602,294.9740321,285.8113614,284.6531081,306.4918953,291.2044187,305.3240242
3,268.9470085,268.9470085,276.0860148,331.0020627,304.3056556,274.7689696,277.8070632,277.2769498,336.9869595,274.7687238,342.4788792
3,271.2587923,271.2587923,272.7051827,338.0374833,309.8916179,259.0673743,278.5272437,271.2798924,354.7298757,267.5363919,354.6351473
3,254.9381457,254.9381457,265.6023476,338.4226489,313.1488082,250.0251593,273.8133429,267.7352949,375.3412431,257.4014745,381.1531752
3,266.3566739,263.3268846,270.4470723,347.6563795,316.5346987,262.8119753,278.5151414,267.9721904,370.1632766,265.5993961,370.0386818
3,302.4352386,302.4352386,290.490736,307.3525887,293.7150446,290.3746019,288.8002676,293.9070192,305.7662512,291.94001,303.8300264
3,290.2895573,290.2895573,284.8035038,326.559279,300.5934977,279.1349081,281.7974756,283.6782594,328.9103926,282.243318,327.2780663
3,275.3386762,275.3386762,275.702271,335.8984701,307.7324487,261.8484057,275.9641369,276.2697007,342.3978541,268.762952,346.6150273
3,264.2321486,264.2321486,271.1446797,338.2516002,313.8988353,258.0832358,278.632063,272.8582927,351.8085215,261.4097074,351.5760706
3,290.4896597,290.3130859,288.7973301,324.9427441,304.1101356,284.264751,288.5250008,285.9970772,333.4359074,285.7950965,334.0743406
3,272.3598772,272.3598772,270.6353153,341.3656568,313.7360669,268.9725747,274.5941623,274.7442822,358.2802202,268.8701605,360.6062223
3,266.5781204,266.5781204,274.9619767,327.4289995,297.3024844,264.3695738,275.3762549,277.4375712,340.161829,271.2925118,344.1711097
3,301.1908793,301.1908793,288.8806481,305.696321,291.7909772,293.6696813,283.2802818,288.837719,309.7519361,292.3276966,308.7176406
3,269.4177762,269.4177762,268.2450375,326.9761401,300.4066473,257.2450769,268.1145463,273.7085547,342.6244801,264.5653105,347.3695277
3,296.7454928,296.7454928,284.621486,322.536252,296.1315039,294.8546136,285.5061188,287.7446906,324.1626975,293.242556,327.2418507
3,280.6375121,280.6375121,278.3725629,326.8854749,302.5616876,274.0096904,280.5035444,278.4860089,341.4419404,275.3515892,337.1306086
3,289.4163481,289.370998,284.2199888,324.7159143,301.0710863,284.4094402,287.2500945,281.8246209,330.0757677,284.5534369,327.141406
3,281.9344191,281.9344191,282.6223188,322.0664335,306.1918906,276.552672,285.3686066,277.0180145,332.0044481,276.7740246,333.0961887
3,271.2381253,271.2381253,273.3794855,346.2930052,315.4737444,270.0984443,277.6227948,273.3540998,365.713907,269.100953,363.628955
3,289.7097521,289.7097521,282.3215614,326.9041299,304.3129135,279.8880002,283.3828554,279.7054732,327.2804391,280.6367726,325.408065
3,266.160384,266.160384,269.7585195,336.4119484,313.0927681,263.5001991,272.2736788,266.7253282,350.3192211,262.9423643,352.0272012
3,260.8821548,260.8821548,262.2048176,342.554432,312.5721539,249.4002724,269.0425872,265.1143756,366.5318397,258.9237907,376.0040224
3,281.5227254,281.5227254,286.3603864,338.7361193,312.1250442,285.2763435,289.867365,287.8446171,339.8972244,287.1414364,337.4759346
3,258.8698725,258.8698725,262.8155307,349.0100637,312.931747,255.7480012,269.6667589,271.1042828,364.7773194,258.8860664,372.5796329
3,294.8375106,294.8375106,289.4293699,320.9151721,299.8279885,287.4742615,288.0763859,284.5031107,325.5004877,283.1078083,319.2549962
3,272.3167931,272.3167931,279.7742985,324.8958196,310.1965641,257.5554566,281.9619361,273.7185471,352.1227487,266.8831228,351.2923387
3,277.505845,277.505845,278.8283849,333.6096327,309.1970773,275.101787,280.7039323,283.6888057,337.63018,280.374962,343.1694879
3,276.5552998,276.5552998,273.6395421,344.4856947,317.726543,266.5047853,279.107908,274.7667724,356.587629,268.3836141,354.4567626
3,280.6896711,280.6896711,278.6139124,324.1462469,302.1982247,267.1234374,278.5436273,274.9291776,327.4369563,272.9798414,328.137652
3,294.5912532,294.5912532,290.3444895,323.2786191,302.2088236,284.7844433,289.2367626,285.2298176,325.996457,288.1069023,322.0600487
3,278.2604367,278.2604367,282.7987732,326.3611789,301.5644461,272.8477878,282.0818219,279.7642609,332.8901299,277.4756903,330.2380013
3,286.3110321,286.3110321,280.6901092,313.5172872,291.1876008,270.8035118,279.4796053,278.2156655,319.39668,278.412225,322.5410116
3,284.1379152,284.1379152,285.7276946,311.9327033,297.7489854,278.829692,285.8974138,280.9103668,327.9638586,284.1265913,328.0475474
3,280.6314373,280.6314373,279.1163481,326.808047,308.9998825,269.7887435,282.2036832,271.2886555,343.6766403,272.8790167,340.1638403
3,273.109659,267.9696439,272.9318553,330.28849,303.2457329,262.9699155,277.3120435,272.5309036,348.4351776,268.1256693,347.2954957
3,262.3433671,259.9212379,270.4997599,353.3037254,322.8323624,261.2134104,278.3725663,270.3659158,380.4290546,265.6395339,383.0435158
3,270.4484225,270.4484225,270.2641166,345.8343073,310.0412178,266.291301,272.8588003,272.6497313,356.5985243,270.2328348,361.1928932
3,267.8182401,267.8182401,274.2682243,337.3182435,313.7056293,264.1993162,277.3319561,273.6596898,358.9680925,267.6701294,360.6276648
3,273.7342888,270.1018905,274.4050374,340.0783759,315.5291775,274.9612661,278.8561401,277.5408546,354.4326249,271.444423,352.7022351
3,281.3179004,281.3179004,283.0381143,314.8934435,302.4421379,277.5889036,283.0205202,280.5781514,324.7859011,278.4651188,322.7934856
3,255.3712374,255.3712374,257.0917485,355.0151169,318.595432,248.4467806,266.9581662,268.7696266,373.3200481,254.3959256,381.9457589
3,280.9121625,280.9121625,280.3541017,320.7664626,300.8559244,270.9539299,282.1477015,279.8872217,330.8104165,276.099067,331.999716
3,274.7614707,272.6610264,275.875795,332.19224,313.8191698,273.065043,278.3999833,273.0220588,353.5436845,271.6184551,350.7409606
3,268.0761534,268.0761534,269.3643156,339.4927822,306.4385182,264.1726481,277.0992359,271.4565089,350.625079,266.7377965,356.4584667
3,259.6993823,259.6993823,263.4114457,356.4503146,325.9195656,274.0347179,273.0448409,278.7959987,377.4450488,265.0006914,377.6600858
3,292.0150799,292.0150799,287.4863265,330.4865982,303.3109414,284.1477291,286.8540674,288.4230517,324.6745712,284.100881,320.0889452
3,279.9602179,279.9602179,278.5309844,336.4354784,308.4464175,280.7936494,280.8319677,278.3150394,347.9105884,276.0079704,346.2188678
3,259.753088,259.753088,266.1489488,356.5130166,323.6319323,263.9653841,275.3468315,272.5061417,378.2991379,260.9339513,377.6699575
3,273.4833764,273.3581621,271.571055,339.8498292,312.6520293,277.4576441,279.3415699,274.7241104,357.3282169,271.2227835,358.3827292
3,282.6135141,282.6135141,280.0797844,318.3494379,298.573969,282.3625057,281.0627907,284.088725,335.1606198,281.8312983,331.8099317
3,274.3574215,274.3574215,277.4417818,318.6693099,296.4297611,283.3529361,278.71407,277.5452026,339.9559424,275.174943,333.523056
3,273.5613669,273.5613669,272.2585924,339.2166498,310.3984157,275.7369812,278.9870059,278.4710206,356.4348238,270.2066531,357.8500229
3,281.7651215,281.7651215,285.2525116,311.295689,295.7032866,281.3684079,283.6238232,281.7947379,322.890644,280.6713406,322.1973787
3,276.9013755,273.0878357,274.6112961,347.0307374,313.7509472,270.2631718,280.4754018,277.7563984,358.649823,268.6800235,359.8221419
3,257.1330396,257.1330396,263.6600972,352.5802249,319.7128256,262.6460038,273.8567864,271.6108647,380.0610513,258.4282629,380.9701004
3,292.2809825,292.2809825,284.3583296,322.5672263,305.2743347,285.5112864,286.1091678,288.554673,331.1905922,282.9308511,327.5687233
3,279.1413464,279.1413464,285.4192848,320.4877918,297.3999743,291.0813848,285.4371628,287.7794091,329.2801349,285.0407868,327.2107439
3,274.1962978,274.1962978,279.8594794,329.2410398,308.8807146,282.3800403,282.7812023,286.6828656,343.1904919,275.3202704,338.7645947
3,290.0695673,290.0695673,285.579563,306.3272881,292.4392483,295.3399788,281.0943585,294.574366,314.1397864,285.5683493,316.8875845
